Student_ID,Name,Domicile,Region,Gender,Age,Admission_Status
1077,Sofia Okafor,Brazil,Rio de Janeiro,Female,38,Conditional
1078,John Garcia,Nigeria,Abuja,Female,35,Conditional
1079,Tunde Garcia,Australia,Victoria,Female,31,Unconditional
1080,Jane Cheng,India,Maharashtra,Female,27,Conditional
1081,Chen Nguyen,UK,Yorkshire,Female,33,Unconditional
1082,Fatoumata Brown,Nigeria,Lagos,Male,30,Unconditional
1083,Emily Jones,United States,New York,Female,23,Conditional
1084,Sarah Jones,United States,California,Male,29,Conditional
1085,Ahmed Cheng,Nigeria,Lagos,Male,41,Conditional
1086,Chinonso Okafor,Nigeria,Abuja,Male,44,Unconditional
1087,Emily Osei,Japan,Osaka,Female,41,Conditional
1088,Amina Smith,UK,Edinburgh,Female,28,Unconditional
1089,Chen Martinez,Brazil,Rio de Janeiro,Female,30,Conditional
1090,Tunde Brown,Canada,Ontario,Male,41,Unconditional
1091,Kwame Müller,UK,London,Female,22,Unconditional
1092,Chinonso Adams,Nigeria,Abuja,Female,37,Unconditional
1093,Ali Garcia,Nigeria,Abuja,Male,38,Conditional
1094,Tunde Johnson,UK,Yorkshire,Male,43,Conditional
1095,Emily Osei,Canada,Ontario,Female,37,Conditional
1096,Jane Miller,China,Beijing,Female,23,Conditional
1097,Kwame Garcia,Germany,Berlin,Male,25,Conditional
1098,Tunde Jones,United States,New York,Female,25,Conditional
1099,Emeka Silva,UK,Yorkshire,Female,22,Conditional
1100,James Okwuosa,United States,New York,Female,32,Conditional
1101,Carlos Uzoegwu,Canada,Quebec,Male,36,Unconditional
1102,Adeola Chukwu,China,Beijing,Male,22,Unconditional
1103,Katie Ali,United States,California,Female,26,Unconditional
1104,Ngozi Jones,Nigeria,Lagos,Female,38,Conditional
1105,Chris Adetokunbo,United States,New York,Male,30,Conditional
1106,Chinonso Patel,United States,California,Male,37,Unconditional
1107,Chijioke Nwosu,Canada,Ontario,Male,36,Conditional
1108,Katie Osei,India,Delhi,Male,28,Unconditional
1109,Ngozi Kumar,Brazil,Rio de Janeiro,Male,42,Unconditional
1110,Amina Chen,India,Tamil Nadu,Female,26,Conditional
1111,Ahmed Rodriguez,Japan,Osaka,Female,42,Conditional
1112,Amina Chukwu,Japan,Tokyo,Male,40,Conditional
1113,John Jones,Australia,New South Wales,Male,41,Conditional
1114,Sarah Patel,Japan,Tokyo,Female,35,Conditional
1115,Emeka Patel,United States,California,Male,34,Conditional
1116,David Uzoegwu,Brazil,Rio de Janeiro,Male,42,Unconditional
1117,Maria Adetokunbo,United States,New York,Female,25,Unconditional
1118,Katie Jones,Brazil,São Paulo,Male,24,Unconditional
1119,John Kim,Japan,Osaka,Female,28,Conditional
1120,Katie Cheng,Germany,Berlin,Female,28,Conditional
1121,Paschal Müller,Canada,Ontario,Female,44,Unconditional
1122,Jane Adams,Australia,New South Wales,Male,40,Unconditional
1123,Chijioke Smith,UK,Edinburgh,Male,27,Unconditional
1124,Priya Garcia,India,Tamil Nadu,Female,40,Conditional
1125,Katie Smith,Japan,Tokyo,Male,36,Unconditional
1126,Sarah Adams,China,Shanghai,Male,42,Conditional
1127,Jessica Nwosu,Canada,Quebec,Female,35,Conditional
1128,Sofia Kumar,Australia,Victoria,Female,38,Unconditional
1129,Amina Rodriguez,India,Delhi,Female,27,Unconditional
1130,Chris Okwuosa,Australia,New South Wales,Male,27,Unconditional
1131,Carlos Kim,China,Beijing,Male,30,Unconditional
1132,Chris Davis,China,Shanghai,Female,31,Conditional
1133,Fatima Miller,Brazil,São Paulo,Female,30,Unconditional
1134,Omar Okafor,United States,New York,Male,42,Unconditional
1135,Emeka Davis,Brazil,São Paulo,Female,37,Unconditional
1136,Michael Osei,Japan,Osaka,Male,36,Unconditional
1137,Kwame Kim,Canada,Quebec,Male,22,Unconditional
1138,Liu Smith,Canada,Ontario,Male,31,Conditional
1139,Maria Kim,Nigeria,Lagos,Male,37,Conditional
1140,Ngozi Williams,Nigeria,Lagos,Female,24,Unconditional
1141,Kwame Miller,Brazil,Rio de Janeiro,Male,37,Conditional
1142,Adeola Kumar,Nigeria,Lagos,Female,28,Conditional
1143,Chris Williams,China,Beijing,Male,25,Conditional
1144,Michael Cheng,Australia,Victoria,Male,38,Conditional
1145,Amina Brown,India,Tamil Nadu,Female,31,Conditional
1146,Omar Kim,UK,London,Male,30,Unconditional
1147,Paschal Adams,Australia,Victoria,Male,43,Unconditional
1148,Sarah Adetokunbo,Australia,New South Wales,Male,36,Conditional
1149,Michael Rodriguez,United States,New York,Male,41,Conditional
1150,Sarah Kim,China,Beijing,Female,29,Unconditional
1151,Fatima Chen,UK,Yorkshire,Male,25,Conditional
1152,Carlos Nguyen,Japan,Tokyo,Female,40,Unconditional
1153,Adeola Williams,Canada,Quebec,Male,34,Conditional
1154,Omar Chen,UK,London,Male,26,Unconditional
1155,Jessica Okafor,United States,California,Male,26,Unconditional
1156,Ali Santos,Nigeria,Lagos,Female,41,Conditional
1157,Ahmed Silva,Nigeria,Lagos,Male,35,Unconditional
1158,James Johnson,Canada,Quebec,Female,26,Unconditional
1159,Adeola Miller,India,Maharashtra,Female,35,Unconditional
1160,James Adetokunbo,Canada,Quebec,Female,43,Unconditional
1161,Chijioke Nguyen,Australia,Victoria,Male,26,Conditional
1162,Michael Patel,United States,New York,Female,33,Conditional
1163,Ifeoma Davis,United States,New York,Female,40,Conditional
1164,Chris Patel,UK,London,Male,41,Conditional
1165,Chijioke Okafor,UK,London,Male,30,Unconditional
1166,Paschal Martinez,India,Tamil Nadu,Female,39,Unconditional
1167,Chen Cheng,Japan,Tokyo,Male,27,Unconditional
1168,Omar Nguyen,India,Delhi,Male,35,Conditional
1169,Ifeoma Martinez,Germany,Bavaria,Female,39,Unconditional
1170,Laila Ali,India,Maharashtra,Male,29,Conditional
1171,Fatima Martinez,Nigeria,Lagos,Male,28,Unconditional
1172,Chen Cheng,Nigeria,Abuja,Male,30,Unconditional
1173,Adeola Rodriguez,Canada,Ontario,Male,39,Unconditional
1174,Ahmed Rodriguez,Nigeria,Abuja,Female,44,Conditional
1175,James Osei,Nigeria,Lagos,Female,23,Unconditional
1176,James Nguyen,Canada,Ontario,Female,33,Conditional
1177,Ngozi Kim,China,Beijing,Female,30,Conditional
1178,Tunde Osei,India,Tamil Nadu,Female,40,Conditional
1179,Chijioke Kim,Canada,Ontario,Female,26,Conditional
1180,Fatima Kim,UK,Edinburgh,Male,30,Conditional
1181,Chijioke Garcia,Australia,Victoria,Female,42,Unconditional
1182,Emily Johnson,United States,California,Male,37,Unconditional
1183,Omar Nguyen,Germany,Berlin,Female,23,Conditional
1184,Chris Davis,UK,London,Female,33,Conditional
1185,Chen Cheng,UK,London,Male,28,Conditional
1186,Ifeoma Smith,Nigeria,Abuja,Male,27,Unconditional
1187,John Williams,India,Tamil Nadu,Male,34,Unconditional
1188,Katie Brown,Japan,Osaka,Male,25,Unconditional
1189,Liu Davis,Nigeria,Abuja,Female,22,Unconditional
1190,Michael Santos,Germany,Bavaria,Female,32,Unconditional
1191,Emily Jones,Japan,Osaka,Female,30,Unconditional
1192,John Patel,Australia,Victoria,Female,23,Conditional
1193,Amina Rodriguez,Canada,Quebec,Male,35,Unconditional
1194,Ahmed Nguyen,China,Beijing,Female,29,Conditional
1195,James Okafor,United States,California,Female,35,Conditional
1196,Michael Kumar,UK,Edinburgh,Female,26,Conditional
1197,Maria Brown,China,Shanghai,Male,24,Conditional
1198,Emily Martinez,Germany,Berlin,Female,29,Conditional
1199,Katie Silva,Japan,Osaka,Female,23,Conditional
1200,Sarah Davis,Australia,New South Wales,Female,33,Unconditional
1201,Ali Uzoegwu,Germany,Berlin,Male,34,Conditional
1202,Chijioke Adams,Canada,Quebec,Male,24,Unconditional
1203,Sofia Osei,UK,London,Male,39,Unconditional
1204,Kwame Uzoegwu,UK,Edinburgh,Female,37,Conditional
1205,Ali Nwosu,Australia,New South Wales,Male,33,Unconditional
1206,Chris Silva,United States,New York,Male,25,Unconditional
1207,John Nwosu,Brazil,Rio de Janeiro,Female,41,Conditional
1208,Carlos Davis,United States,California,Male,41,Unconditional
1209,Michael Uzoegwu,Australia,Victoria,Female,33,Conditional
1210,James Miller,UK,Yorkshire,Female,35,Conditional
1211,Fatima Brown,India,Tamil Nadu,Male,44,Unconditional
1212,Paschal Okafor,United States,California,Male,26,Conditional
1213,Ahmed Okwuosa,Germany,Bavaria,Male,30,Conditional
1214,Omar Chukwu,Germany,Bavaria,Female,27,Unconditional
1215,Amina Uzoegwu,United States,New York,Male,30,Unconditional
1216,Fatoumata Okafor,Canada,Quebec,Female,41,Conditional
1217,Chen Cheng,India,Delhi,Female,43,Unconditional
1218,Fatoumata Nwosu,Brazil,Rio de Janeiro,Female,29,Conditional
1219,Jane Smith,Brazil,São Paulo,Male,40,Conditional
1220,Jessica Rodriguez,Nigeria,Lagos,Male,42,Unconditional
1221,Paschal Adams,UK,London,Female,42,Unconditional
1222,Katie Osei,Canada,Ontario,Male,41,Conditional
1223,Katie Brown,Australia,New South Wales,Male,36,Unconditional
1224,Maria Kim,Nigeria,Abuja,Female,28,Unconditional
1225,Katie Martinez,Germany,Berlin,Male,22,Unconditional
1226,Laila Osei,Germany,Bavaria,Male,38,Conditional
1227,Priya Ali,Brazil,Rio de Janeiro,Female,42,Unconditional
1228,Chen Garcia,Nigeria,Abuja,Male,22,Unconditional
1229,Fatima Martinez,Canada,Quebec,Female,22,Conditional
1230,Ali Williams,UK,Yorkshire,Male,32,Unconditional
1231,Tunde Jones,China,Shanghai,Male,39,Unconditional
1232,Maria Miller,Japan,Tokyo,Male,25,Unconditional
1233,Jessica Jones,China,Beijing,Male,43,Unconditional
1234,Michael Miller,Canada,Quebec,Female,38,Unconditional
1235,Chen Ali,United States,New York,Female,29,Conditional
1236,Paschal Santos,Australia,Victoria,Male,24,Conditional
1237,Ahmed Patel,India,Tamil Nadu,Male,27,Unconditional
1238,Ali Silva,UK,Yorkshire,Female,25,Conditional
1239,Emily Adetokunbo,Australia,Victoria,Male,38,Unconditional
1240,Jane Okafor,UK,Yorkshire,Female,44,Conditional
1241,Omar Nguyen,China,Shanghai,Female,29,Conditional
1242,Fatima Garcia,Japan,Osaka,Female,38,Unconditional
1243,Ngozi Okafor,United States,New York,Female,23,Conditional
1244,Sofia Martinez,Nigeria,Lagos,Male,29,Unconditional
1245,Liu Adetokunbo,Australia,Victoria,Female,27,Conditional
1246,Emeka Miller,Japan,Osaka,Male,23,Conditional
1247,Ngozi Jones,United States,California,Male,36,Unconditional
1248,Amina Nwosu,China,Beijing,Female,37,Conditional
1249,Maria Okafor,United States,California,Male,43,Conditional
1250,Jane Cheng,Nigeria,Abuja,Male,37,Conditional
1251,Katie Müller,India,Maharashtra,Male,39,Unconditional
1252,Ifeoma Santos,Germany,Bavaria,Male,39,Unconditional
1253,Katie Kumar,United States,New York,Female,35,Unconditional
1254,Maria Kumar,Brazil,São Paulo,Male,29,Conditional
1255,Sarah Uzoegwu,Japan,Tokyo,Male,22,Unconditional
1256,Emily Williams,Germany,Berlin,Male,38,Unconditional
1257,Chen Adetokunbo,UK,London,Male,32,Unconditional
1258,Priya Chen,Australia,New South Wales,Female,36,Unconditional
1259,Carlos Johnson,Australia,New South Wales,Female,41,Unconditional
1260,Chinonso Davis,China,Shanghai,Male,36,Conditional
1261,Fatima Johnson,Germany,Berlin,Male,40,Conditional
1262,Michael Uzoegwu,Australia,Victoria,Male,28,Unconditional
1263,Ngozi Martinez,Canada,Quebec,Female,39,Conditional
1264,John Cheng,United States,New York,Female,23,Conditional
1265,James Patel,Germany,Bavaria,Male,37,Conditional
1266,Jane Jones,Germany,Berlin,Female,39,Conditional
1267,Emeka Johnson,Japan,Osaka,Female,44,Unconditional
1268,Sarah Okwuosa,Canada,Ontario,Female,38,Conditional
1269,Fatoumata Davis,Brazil,Rio de Janeiro,Male,27,Conditional
1270,Ifeoma Davis,UK,Edinburgh,Female,30,Conditional
1271,Jane Patel,India,Tamil Nadu,Female,40,Unconditional
1272,Chijioke Smith,India,Maharashtra,Female,25,Unconditional
1273,David Kim,United States,California,Female,36,Unconditional
1274,Adeola Uzoegwu,Brazil,Rio de Janeiro,Male,27,Conditional
1275,Chris Osei,Brazil,Rio de Janeiro,Male,40,Unconditional
1276,John Silva,Nigeria,Lagos,Female,35,Conditional
1277,Katie Santos,Japan,Tokyo,Female,28,Unconditional
1278,Kwame Brown,Germany,Berlin,Male,40,Conditional
1279,Adeola Miller,United States,California,Female,37,Conditional
1280,Ali Okafor,Canada,Quebec,Male,28,Unconditional
1281,Fatoumata Davis,China,Beijing,Female,42,Conditional
1282,Emily Adetokunbo,Nigeria,Lagos,Male,26,Unconditional
1283,Paschal Miller,India,Delhi,Female,31,Conditional
1284,John Müller,Australia,New South Wales,Female,42,Conditional
1285,Ahmed Silva,Brazil,Rio de Janeiro,Female,41,Unconditional
1286,Chinonso Smith,Germany,Berlin,Male,32,Conditional
1287,Ali Adams,Japan,Osaka,Female,30,Conditional
1288,Michael Kumar,Nigeria,Abuja,Female,41,Conditional
1289,Chen Miller,Germany,Bavaria,Male,34,Unconditional
1290,Ali Chukwu,Germany,Bavaria,Male,26,Conditional
1291,Fatoumata Smith,Japan,Osaka,Male,39,Conditional
1292,Tunde Okafor,India,Tamil Nadu,Male,22,Unconditional
1293,Liu Garcia,Germany,Berlin,Female,32,Conditional
1294,Maria Okwuosa,Japan,Tokyo,Female,40,Unconditional
1295,Emeka Uzoegwu,Nigeria,Abuja,Female,33,Unconditional
1296,Priya Cheng,United States,New York,Female,23,Unconditional
1297,Emeka Jones,China,Beijing,Female,37,Conditional
1298,David Kumar,Germany,Bavaria,Male,40,Conditional
1299,Chen Nguyen,Japan,Osaka,Male,37,Unconditional
1300,Tunde Nwosu,India,Tamil Nadu,Male,24,Conditional
1301,Chinonso Kumar,Canada,Quebec,Female,25,Unconditional
1302,Omar Chen,Canada,Ontario,Male,39,Conditional
1303,Paschal Okwuosa,UK,Yorkshire,Female,34,Conditional
1304,John Santos,India,Delhi,Female,31,Unconditional
1305,Carlos Ali,India,Delhi,Female,33,Unconditional
1306,Chijioke Rodriguez,UK,London,Female,33,Conditional
1307,Katie Uzoegwu,UK,London,Male,28,Conditional
1308,Liu Adetokunbo,UK,London,Female,40,Conditional
1309,Liu Chukwu,Japan,Osaka,Male,34,Conditional
1310,David Uzoegwu,Australia,New South Wales,Male,27,Unconditional
1311,Emily Rodriguez,Nigeria,Lagos,Female,30,Conditional
1312,Fatima Chen,Nigeria,Lagos,Male,36,Unconditional
1313,Maria Garcia,Germany,Bavaria,Male,23,Conditional
1314,Maria Nguyen,Germany,Bavaria,Female,27,Conditional
1315,Ngozi Osei,Australia,Victoria,Female,29,Conditional
1316,Amina Garcia,Japan,Osaka,Female,22,Conditional
1317,Sarah Jones,Nigeria,Abuja,Male,28,Unconditional
1318,Carlos Uzoegwu,China,Shanghai,Male,35,Conditional
1319,Maria Davis,Brazil,São Paulo,Male,22,Unconditional
1320,Katie Cheng,Nigeria,Lagos,Male,22,Unconditional
1321,Emeka Davis,United States,California,Female,23,Conditional
1322,Omar Okafor,India,Maharashtra,Male,28,Unconditional
1323,Amina Okafor,UK,London,Female,43,Unconditional
1324,Paschal Osei,Australia,New South Wales,Female,37,Unconditional
1325,Emily Okafor,UK,Edinburgh,Male,41,Unconditional
1326,Paschal Brown,China,Beijing,Male,25,Conditional
1327,Maria Osei,Canada,Ontario,Male,40,Unconditional
1328,Ngozi Martinez,Australia,New South Wales,Male,44,Conditional
1329,Fatoumata Müller,Canada,Ontario,Female,35,Conditional
1330,Priya Johnson,India,Tamil Nadu,Male,31,Conditional
1331,Jane Adams,India,Tamil Nadu,Male,32,Conditional
1332,John Smith,Japan,Osaka,Female,22,Conditional
1333,Paschal Martinez,Brazil,São Paulo,Male,22,Conditional
1334,Ngozi Johnson,United States,New York,Female,28,Conditional
1335,Ahmed Adetokunbo,Brazil,São Paulo,Male,33,Unconditional
1336,Maria Okwuosa,India,Tamil Nadu,Male,27,Unconditional
1337,Chijioke Garcia,Australia,Victoria,Male,34,Unconditional
1338,Ngozi Williams,Brazil,Rio de Janeiro,Female,42,Conditional
1339,Emily Osei,Canada,Quebec,Female,34,Unconditional
1340,Ahmed Williams,China,Shanghai,Male,39,Conditional
1341,Michael Silva,Japan,Osaka,Male,37,Unconditional
1342,Ali Adetokunbo,Nigeria,Abuja,Male,32,Conditional
1343,Kwame Okwuosa,India,Maharashtra,Male,24,Unconditional
1344,Ifeoma Martinez,Canada,Quebec,Male,40,Conditional
1345,Ahmed Adetokunbo,Nigeria,Abuja,Male,38,Conditional
1346,Fatoumata Okafor,UK,Yorkshire,Female,41,Conditional
1347,Ngozi Brown,Brazil,Rio de Janeiro,Female,38,Unconditional
1348,Michael Cheng,China,Shanghai,Female,22,Unconditional
1349,Sarah Martinez,Nigeria,Lagos,Female,26,Conditional
1350,Jessica Martinez,China,Shanghai,Female,29,Unconditional
1351,Laila Adetokunbo,Japan,Tokyo,Male,43,Unconditional
1352,Chris Okwuosa,Nigeria,Abuja,Male,42,Unconditional
1353,Laila Chen,Germany,Bavaria,Female,38,Unconditional
1354,Jessica Okwuosa,Germany,Bavaria,Female,44,Conditional
1355,Ifeoma Adetokunbo,Germany,Berlin,Female,26,Unconditional
1356,Amina Miller,Japan,Tokyo,Male,37,Unconditional
1357,Ali Jones,Nigeria,Lagos,Male,31,Conditional
1358,Liu Patel,Canada,Quebec,Female,35,Unconditional
1359,Ifeoma Williams,Brazil,Rio de Janeiro,Male,23,Conditional
1360,Michael Okwuosa,UK,Edinburgh,Female,28,Unconditional
1361,Adeola Nguyen,Japan,Tokyo,Female,40,Unconditional
1362,Liu Okafor,Canada,Quebec,Female,40,Unconditional
1363,David Kim,United States,California,Male,24,Conditional
1364,Emily Okafor,Canada,Quebec,Male,23,Unconditional
1365,Katie Garcia,Canada,Quebec,Male,28,Unconditional
1366,Fatima Patel,China,Shanghai,Male,39,Unconditional
1367,Chen Davis,UK,Yorkshire,Male,44,Unconditional
1368,Katie Jones,Germany,Bavaria,Male,27,Conditional
1369,Sofia Rodriguez,China,Shanghai,Female,31,Unconditional
1370,Priya Garcia,United States,New York,Female,23,Unconditional
1371,Tunde Osei,Germany,Bavaria,Male,41,Unconditional
1372,Ngozi Osei,Brazil,São Paulo,Male,38,Unconditional
1373,David Miller,United States,New York,Male,35,Unconditional
1374,Adeola Okafor,China,Beijing,Male,36,Unconditional
1375,Liu Cheng,China,Beijing,Female,31,Unconditional
1376,Chris Patel,United States,California,Male,43,Unconditional
1377,Liu Osei,Brazil,São Paulo,Female,34,Conditional
1378,Maria Chen,United States,California,Male,44,Conditional
1379,Ngozi Martinez,Brazil,São Paulo,Male,32,Unconditional
1380,Laila Ali,China,Beijing,Female,22,Conditional
1381,Liu Smith,China,Shanghai,Male,26,Conditional
1382,Ahmed Silva,UK,London,Male,34,Unconditional
1383,Chijioke Kumar,UK,London,Male,29,Conditional
1384,John Rodriguez,Japan,Tokyo,Male,40,Conditional
1385,James Chen,China,Beijing,Female,43,Conditional
1386,Ali Rodriguez,China,Shanghai,Female,39,Conditional
1387,Tunde Osei,UK,Edinburgh,Female,34,Conditional
1388,Chris Jones,Germany,Berlin,Male,27,Conditional
1389,Ali Chukwu,UK,Edinburgh,Female,36,Unconditional
1390,Chen Nguyen,Australia,New South Wales,Female,33,Conditional
1391,Ahmed Rodriguez,UK,London,Female,38,Unconditional
1392,Omar Martinez,Nigeria,Abuja,Female,44,Conditional
1393,Maria Garcia,United States,California,Male,31,Conditional
1394,Priya Adetokunbo,Brazil,São Paulo,Female,25,Unconditional
1395,Jane Okafor,UK,London,Male,27,Unconditional
1396,Priya Nguyen,China,Beijing,Female,23,Conditional
1397,Liu Okafor,Brazil,São Paulo,Female,30,Conditional
1398,Kwame Garcia,United States,New York,Female,30,Unconditional
1399,Katie Cheng,Brazil,Rio de Janeiro,Female,27,Unconditional
1400,Laila Müller,Germany,Bavaria,Female,22,Conditional
1401,Jessica Chukwu,Germany,Bavaria,Male,22,Conditional
1402,Michael Kim,Nigeria,Abuja,Female,36,Conditional
1403,David Miller,Nigeria,Abuja,Female,42,Unconditional
1404,Priya Adetokunbo,China,Shanghai,Male,31,Conditional
1405,Chris Ali,Australia,New South Wales,Female,40,Unconditional
1406,Katie Kumar,India,Maharashtra,Male,36,Unconditional
1407,Jane Miller,Germany,Bavaria,Female,30,Conditional
1408,Ahmed Jones,Nigeria,Lagos,Female,32,Conditional
1409,Ifeoma Cheng,China,Beijing,Female,33,Conditional
1410,James Nwosu,Japan,Tokyo,Male,25,Unconditional
1411,Jessica Okwuosa,Nigeria,Lagos,Male,22,Unconditional
1412,Chijioke Silva,Brazil,São Paulo,Female,26,Conditional
1413,David Johnson,Japan,Osaka,Male,24,Unconditional
1414,Carlos Davis,Australia,New South Wales,Male,32,Conditional
1415,Chijioke Osei,United States,New York,Female,29,Conditional
1416,John Santos,China,Beijing,Male,34,Conditional
1417,Fatoumata Okwuosa,United States,California,Male,35,Conditional
1418,Ifeoma Adams,Germany,Berlin,Female,44,Unconditional
1419,Chen Chukwu,Canada,Quebec,Female,31,Unconditional
1420,Ngozi Nguyen,Nigeria,Abuja,Male,38,Conditional
1421,Omar Smith,Germany,Berlin,Male,39,Conditional
1422,Chinonso Kumar,United States,New York,Male,38,Unconditional
1423,Katie Chukwu,United States,California,Male,33,Conditional
1424,Ali Santos,Nigeria,Lagos,Female,35,Conditional
1425,John Nguyen,China,Beijing,Female,42,Conditional
1426,Fatoumata Ali,Australia,Victoria,Female,41,Conditional
1427,Sofia Jones,China,Beijing,Female,39,Conditional
1428,Sofia Müller,United States,New York,Female,41,Conditional
1429,Fatima Garcia,India,Maharashtra,Male,28,Unconditional
1430,Kwame Garcia,UK,London,Male,23,Unconditional
1431,Tunde Adetokunbo,United States,New York,Female,35,Unconditional
1432,Ali Rodriguez,Canada,Quebec,Male,35,Conditional
1433,Tunde Osei,Canada,Quebec,Male,34,Unconditional
1434,Priya Garcia,United States,California,Male,44,Unconditional
1435,Ali Silva,Canada,Ontario,Male,38,Unconditional
1436,Amina Ali,Australia,Victoria,Male,22,Conditional
1437,Sarah Chen,China,Beijing,Female,38,Unconditional
1438,Omar Chukwu,India,Maharashtra,Female,22,Unconditional
1439,Katie Kim,India,Maharashtra,Male,44,Unconditional
1440,Maria Silva,Canada,Ontario,Female,30,Conditional
1441,Jessica Garcia,Japan,Tokyo,Female,43,Conditional
1442,Carlos Nguyen,United States,California,Female,37,Unconditional
1443,Liu Miller,Australia,New South Wales,Male,38,Unconditional
1444,Emeka Rodriguez,India,Maharashtra,Male,24,Unconditional
1445,Katie Chen,UK,London,Female,39,Conditional
1446,James Miller,China,Beijing,Male,31,Conditional
1447,Chris Nguyen,Brazil,São Paulo,Female,30,Unconditional
1448,Paschal Smith,Nigeria,Lagos,Female,29,Conditional
